game,minute,type,team,player,detail
2,17,goal,SVU,Evan Mercer,
2,45,goal,OPP,#5,
2,47,goal,SVU,Evan Mercer,
3,24,goal,SVU,Evan Mercer,
3,26,yellow,SVU,Zaden Bandy,
3,34,goal,OPP,#28,
3,46,goal,OPP,#31,
3,51,goal,SVU,Benjamin Kratz,
3,68,goal,OPP,#26,
4,11,goal,SVU,Benjamin Kratz,
4,17,goal,SVU,Evan Mercer,
4,28,goal,SVU,Joseph Benitez Maldonado,
4,36,goal,SVU,Weston Hash,
4,40,goal,SVU,Evan Mercer,
4,42,goal,SVU,Benjamin Kratz,
4,46,goal,SVU,Benjamin Kratz,
4,47,goal,SVU,Yousaf Hussain Khil,
5,6,goal,OPP,#14,
5,9,goal,SVU,Weston Hash,
5,19,goal,OPP,#14,PK
5,55,goal,SVU,Joseph Benitez Maldonado,
5,61,yellow,SVU,Benjamin Kratz,
5,61,yellow,OPP,#6,
5,62,red,SVU,Brayan Espinoza Canales,
5,64,goal,SVU,Zaden Bandy,
6,18,goal,SVU,Joseph Benitez Maldonado,
6,34,goal,SVU,Benjamin Kratz,PK
6,41,goal,SVU,Evan Arenas,
6,44,goal,OPP,#16,
6,63,goal,OPP,#9,
6,68,yellow,OPP,#18,
6,71,yellow,SVU,Zaden Bandy,
6,80,goal,SVU,Evan Mercer,
