game,date,time,opponent,location,competition,result,svu_score,opp_score,note
1,9/5/2026,1:00 PM,Skyline Elite U15,"Ukrop Park — Richmond, VA",Blue Ridge Cup,T,0,0,"Rained out, called at 0-0"
2,9/5/2026,5:00 PM,Virginia Valor,"Ukrop Park — Richmond, VA",Blue Ridge Cup,W,2,1,
3,9/6/2026,10:30 AM,SOCA Elite U16,"Ukrop Park — Richmond, VA",Blue Ridge Cup,L,2,3,
4,9/12/2026,1:45 PM,Augusta United,"Rockingham Park — Penn Laird, VA",VCSL Regular Season,W,8,0,
5,9/19/2026,10:30 AM,New River United,"Rockingham Park — Penn Laird, VA",VCSL Regular Season,W,3,2,
6,9/20/2026,1:45 PM,Central Virginia United,"Central Virginia Regional Soccer Complex — Lynchburg, VA",VCSL Regular Season,W,4,2,
7,9/26/2026,3:15 PM,SOCA U16 Boys Blue,"Rockingham Park — Penn Laird, VA",VCSL Regular Season,,,,
8,10/3/2026,1:45 PM,Virginia United FC,"Rockingham Park — Penn Laird, VA",VCSL Regular Season,,,,
9,10/10/2026,12:00 AM,TBD,"Virginia Beach, VA",Columbus Day Tournament,,,,
10,10/10/2026,12:00 AM,TBD,"Virginia Beach, VA",Columbus Day Tournament,,,,
11,10/11/2026,12:00 AM,TBD,"Virginia Beach, VA",Columbus Day Tournament,,,,
12,10/17/2026,12:00 PM,SOCA U16 Boys Blue,"South Fork Soccer Park — Charlottesville, VA",VCSL Regular Season,,,,
13,10/24/2026,10:00 AM,Augusta United,"Ridgeview Park — Waynesboro, VA",VCSL Regular Season,,,,
14,10/31/2026,2:45 PM,New River United,"VT Rec Turf — Blacksburg, VA",VCSL Regular Season,,,,
